folder,file name,image size,adjacent,initial frame,equatorial frame,equatorial size,value 0 ch0,puncta 0 ch0,x 0,y 0,w 0,h 0,quality ch0,num frame,new punctate ch0,new punctate ch1,puncta 0 ch1,quality ch1,value 0 ch1,colocalization ch0 ch1,colocalization weight ch0 ch1,new colocalization ch0 ch1,square quality,value 1 ch0,value 2 ch0,value 3 ch0,value 4 ch0,value 5 ch0,value 6 ch0,value 7 ch0,value 8 ch0,puncta 1 ch0,puncta 2 ch0,puncta 3 ch0,puncta 4 ch0,puncta 5 ch0,puncta 6 ch0,puncta 7 ch0,puncta 8 ch0,x 1,x 2,x 3,x 4,x 5,x 6,x 7,x 8,y 1,y 2,y 3,y 4,y 5,y 6,y 7,y 8,w 1,w 2,w 3,w 4,w 5,w 6,w 7,w 8,h 1,h 2,h 3,h 4,h 5,h 6,h 7,h 8,puncta 1 ch1,puncta 2 ch1,puncta 3 ch1,puncta 4 ch1,puncta 5 ch1,puncta 6 ch1,puncta 7 ch1,puncta 8 ch1,value 1 ch1,value 2 ch1,value 3 ch1,value 4 ch1,value 5 ch1,value 6 ch1,value 7 ch1,value 8 ch1,value 9 ch0,puncta 9 ch0,x 9,y 9,w 9,h 9,puncta 9 ch1,value 9 ch1
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.101562,24.001865586490567,<puncta_detect_util.Puncta object at 0x7f6bc0559b90>,0.679688,0.438965,0.101562,0.0966797,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6bc0559310>,True,227.74387252538736,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.173828,36.31036444226311,<puncta_detect_util.Puncta object at 0x7f6c7feb8090>,0.680664,0.663086,0.173828,0.169922,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0559fd0>,True,11168.417019466315,0.0,3.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0605469,24.190169039514785,<puncta_detect_util.Puncta object at 0x7f6c7fe81ad0>,0.70752,0.81543,0.0595703,0.0605469,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc05597d0>,True,230.8870231226506,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.126953,27.51752367559493,<puncta_detect_util.Puncta object at 0x7f6bc0559d50>,0.710938,0.924805,0.126953,0.123047,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7feb0590>,True,291.9738241294049,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.108398,38.06362562060258,<puncta_detect_util.Puncta object at 0x7f6c7feb86d0>,0.743652,0.244141,0.108398,0.107422,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc0559b50>,True,13386.013162956635,0.0,2.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0820312,17.679900933510908,<puncta_detect_util.Puncta object at 0x7f6c7feb89d0>,0.75,0.53418,0.0820312,0.0800781,True,1,False,False,<puncta_detect_util.Puncta object at 0x7f6c7feb0390>,True,348.03990555882456,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0390625,34.83335815708506,<puncta_detect_util.Puncta object at 0x7f6c7feb8a10>,0.753906,0.738281,0.0390625,0.0390625,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c80083910>,True,19204.620655452596,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.150391,-3.5107254912832104,<puncta_detect_util.Puncta object at 0x7f6c7feb8a90>,0.796875,0.437012,0.150391,0.141602,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc046f2d0>,True,297.0584337667374,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.0996094,11.589444830540742,<puncta_detect_util.Puncta object at 0x7f6c7feb80d0>,0.803711,0.780273,0.0996094,0.0996094,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6c7ff9a210>,True,19156.76012924832,0.0,1.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/mount/local5/chenxi/puncta-detection/data/02-27-2022/DOPC_DOPE_DOPI_LBPA_Atto/100 uM CalCl2/100 nM FL CY3 ALIX_3/Captured 15.nd2-output,(series 1).tif,1024,False,0,0,0.134766,22.99884201363875,<puncta_detect_util.Puncta object at 0x7f6c7feb8810>,0.827148,0.937012,0.134766,0.120117,True,1,False,True,<puncta_detect_util.Puncta object at 0x7f6bc03543d0>,True,10021.655010026341,0.0,3.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
