file path,image size,num frame,top left x,top left y,bottom right x,bottom right y,colocalization ch0 ch1,colocalization ch0 ch2,colocalization ch1 ch2,colocalization weight ch0 ch1,colocalization weight ch0 ch2,colocalization weight ch1 ch2,punctate frame,puncta 0 ch0,puncta 1 ch0,puncta 2 ch0,puncta 3 ch0,puncta 4 ch0,puncta 5 ch0,puncta 6 ch0,puncta 7 ch0,puncta 8 ch0,puncta 9 ch0,puncta 10 ch0,puncta 11 ch0,puncta 12 ch0,puncta 13 ch0,puncta 14 ch0,puncta 15 ch0,puncta 16 ch0,puncta 17 ch0,puncta 18 ch0,puncta 19 ch0,puncta 20 ch0,puncta 21 ch0,puncta 22 ch0,puncta 23 ch0,puncta 24 ch0,puncta 25 ch0,puncta 26 ch0,puncta 27 ch0,puncta 28 ch0,puncta 0 ch1,puncta 1 ch1,puncta 2 ch1,puncta 3 ch1,puncta 4 ch1,puncta 5 ch1,puncta 6 ch1,puncta 7 ch1,puncta 8 ch1,puncta 9 ch1,puncta 10 ch1,puncta 11 ch1,puncta 12 ch1,puncta 13 ch1,puncta 14 ch1,puncta 15 ch1,puncta 16 ch1,puncta 17 ch1,puncta 18 ch1,puncta 19 ch1,puncta 20 ch1,puncta 21 ch1,puncta 22 ch1,puncta 23 ch1,puncta 24 ch1,puncta 25 ch1,puncta 26 ch1,puncta 27 ch1,puncta 28 ch1,puncta 0 ch2,puncta 1 ch2,puncta 2 ch2,puncta 3 ch2,puncta 4 ch2,puncta 5 ch2,puncta 6 ch2,puncta 7 ch2,puncta 8 ch2,puncta 9 ch2,puncta 10 ch2,puncta 11 ch2,puncta 12 ch2,puncta 13 ch2,puncta 14 ch2,puncta 15 ch2,puncta 16 ch2,puncta 17 ch2,puncta 18 ch2,puncta 19 ch2,puncta 20 ch2,puncta 21 ch2,puncta 22 ch2,puncta 23 ch2,puncta 24 ch2,puncta 25 ch2,puncta 26 ch2,puncta 27 ch2,puncta 28 ch2,new punctate ch0,new punctate ch1,new punctate ch2,colocalization ch0 ch1 ch2,colocalization weight ch0 ch1 ch2,new colocalization ch0 ch1,new colocalization ch0 ch2,new colocalization ch1 ch2,new colocalization ch0 ch1 ch2
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 6.nd2-output\(series 1).tif,1024,1,504,716,661,891,,0.0,,0,1,0,0.0,<puncta_detect_util.Puncta object at 0x0000022E800E3B80>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E800E3A60>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E670>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,,0,,1.0,,
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 6.nd2-output\(series 1).tif,1024,1,176,495,271,609,0.6666666666666666,0.42857142857142855,1.0,3,7,3,0.0,<puncta_detect_util.Puncta object at 0x0000022E800E3DF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E430>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E220>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.0,3,1.0,1.0,1.0,1.0
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 6.nd2-output\(series 1).tif,1024,1,180,260,289,384,,,,0,0,0,0.0,<puncta_detect_util.Puncta object at 0x0000022E83A3EEB0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3EA00>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E9A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,0,,,,
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 6.nd2-output\(series 1).tif,1024,1,901,241,1015,361,0.0,,0.0,1,0,1,0.0,<puncta_detect_util.Puncta object at 0x0000022E83A3EA90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E160>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3ECD0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.0,1,1.0,,1.0,1.0
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 6.nd2-output\(series 1).tif,1024,1,3,819,61,913,1.0,0.5,1.0,1,2,1,0.0,<puncta_detect_util.Puncta object at 0x0000022E83A3E8E0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E520>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E1C0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.0,1,1.0,1.0,1.0,1.0
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 7.nd2-output\(series 1).tif,1024,1,181,416,288,536,0.0,0.0,1.0,1,1,1,0.0,<puncta_detect_util.Puncta object at 0x0000022E800E37F0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E800E3310>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E6A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.0,1,1.0,1.0,1.0,1.0
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 7.nd2-output\(series 1).tif,1024,1,651,369,731,459,1.0,1.0,1.0,1,1,1,0.0,<puncta_detect_util.Puncta object at 0x0000022E83A3EF40>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E0A0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E0D0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.0,1,1.0,1.0,1.0,1.0
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 7.nd2-output\(series 1).tif,1024,1,747,579,824,667,,,,0,0,0,0.0,<puncta_detect_util.Puncta object at 0x0000022E83A3EAF0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3ED90>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E610>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,,0,,,,
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 7.nd2-output\(series 1).tif,1024,1,731,764,901,951,0.0,0.0,1.0,1,1,1,0.0,<puncta_detect_util.Puncta object at 0x0000022E83A3EB20>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3EFA0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E800ADE50>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.0,1,1.0,1.0,1.0,1.0
.\data\02-20-2022\69.5_ DOPC_30_ DOPS_0.5_ Atto\200 nM Dark ALG2_100 nM Cy3 ALIX_10 nM CHMP4b_100 nM dark CHMP2A_100 nM dark CHMP3_100 nM LD 655 Vps4b\Captured 8__4x.nd2-output\(series 1).tif,1024,1,113,305,691,877,0.3333333333333333,0.0,0.6666666666666666,3,1,3,0.0,<puncta_detect_util.Puncta object at 0x0000022E800E3940>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E800E3850>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<puncta_detect_util.Puncta object at 0x0000022E83A3E310>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.0,3,1.0,1.0,0.6666666666666666,0.6666666666666666
